GET /api 304 - - 382.692 ms | User: Unknown User | Body: {} | Time Taken: 391ms
GET /stylesheets/style.css 304 - - 5.735 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api 304 - - 408.473 ms | User: Unknown User | Body: {} | Time Taken: 416ms
GET /stylesheets/style.css 304 - - 6.776 ms | User: Unknown User | Body: {} | Time Taken: 9ms
GET /api/employees 500 47 - 17.656 ms | User: Unknown User | Body: {} | Time Taken: 23ms
GET /api/employees 500 51 - 27.413 ms | User: Unknown User | Body: {} | Time Taken: 34ms
GET /api/employees 500 51 - 17.668 ms | User: Unknown User | Body: {} | Time Taken: 23ms
GET /api/employees 500 51 - 14.295 ms | User: Unknown User | Body: {} | Time Taken: 20ms
GET /api/employees 500 51 - 16.802 ms | User: Unknown User | Body: {} | Time Taken: 22ms
GET /api/employees 500 51 - 15.218 ms | User: Unknown User | Body: {} | Time Taken: 21ms
GET /api/employees 500 51 - 14.578 ms | User: Unknown User | Body: {} | Time Taken: 20ms
GET /api/employees 200 2 - 126.281 ms | User: Unknown User | Body: {} | Time Taken: 131ms
GET /api/employees 200 2 - 72.475 ms | User: Unknown User | Body: {} | Time Taken: 78ms
GET /api/employees 200 152 - 3.974 ms | User: Unknown User | Body: {} | Time Taken: 6ms
POST /api/employees 201 66 - 72.028 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":"1234567890"} | Time Taken: 77ms
POST /api/employees 400 255 - 20.279 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":1234567890,"password":"Karthik123"} | Time Taken: 25ms
POST /api/employees 400 313 - 5.404 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","password":"Karthik@123"} | Time Taken: 7ms
POST /api/employees 201 89 - 74.601 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":1234567890,"password":"Karthik@123"} | Time Taken: 76ms
POST /api/employees 400 131 - 3.688 ms | User: Unknown User | Body: {"name":"karthik2","mail":"karthik@gmail.com","phone":1234567890,"password":"Karthik@123"} | Time Taken: 5ms
POST /api/employees 400 169 - 5.082 ms | User: Unknown User | Body: {"name":"karthik","mail":"@karthikgmail.com","phone":1234567890,"password":"Karthik@123"} | Time Taken: 6ms
POST /api/employees 400 170 - 23.025 ms | User: Unknown User | Body: {"name":"karthik","mail":"@karthikgmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 28ms
POST /api/employees 201 91 - 132.762 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 134ms
GET /api/employees/1 200 152 - 82.193 ms | User: Unknown User | Body: {} | Time Taken: 88ms
GET /api/employees/2 200 2 - 14.682 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees/2 404 2 - 94.090 ms | User: Unknown User | Body: {} | Time Taken: 100ms
GET /api/employees/2 404 2 - 86.835 ms | User: Unknown User | Body: {} | Time Taken: 92ms
POST /api/employees 201 91 - 19.560 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 21ms
POST /api/employees 500 51 - 111.508 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 119ms
POST /api/employees 400 81 - 83.900 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 88ms
POST /api/employees 500 51 - 18.379 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 20ms
POST /api/employees 400 97 - 161.134 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 166ms
POST /api/employees 400 97 - 8.823 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 10ms
POST /api/employees 400 147 - 4.894 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"12345678900","password":"Karthik@123"} | Time Taken: 6ms
POST /api/employees 500 51 - 16.911 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"1234678900","password":"Karthik@123"} | Time Taken: 18ms
POST /api/employees 400 97 - 93.530 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik1@gmail.com","phone":"1234678900","password":"Karthik@123"} | Time Taken: 99ms
POST /api/employees 201 16 - 76.757 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 79ms
GET /api/employees/2 404 2 - 136.928 ms | User: Unknown User | Body: {} | Time Taken: 142ms
GET /api/employees/4 200 178 - 5.566 ms | User: Unknown User | Body: {} | Time Taken: 8ms
GET /api/employees/4 200 153 - 72.168 ms | User: Unknown User | Body: {} | Time Taken: 78ms
GET /api/employees/4 500 51 - 146.123 ms | User: Unknown User | Body: {} | Time Taken: 152ms
GET /api/employees/4 500 51 - 83.109 ms | User: Unknown User | Body: {} | Time Taken: 89ms
GET /api/employees/4 200 151 - 65.609 ms | User: Unknown User | Body: {} | Time Taken: 71ms
GET /api/employees/45 404 4 - 3.672 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees/45 404 24 - 70.075 ms | User: Unknown User | Body: {} | Time Taken: 74ms
GET /api/employees/4 200 171 - 5.302 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api/employees 200 478 - 3.467 ms | User: Unknown User | Body: {} | Time Taken: 4ms
PUT /api/employees/155 404 60 - 92.454 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 97ms
PUT /api/employees/1 500 51 - 45.940 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 47ms
PUT /api/employees/1 200 59 - 83.750 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 90ms
PUT /api/employees/1 200 59 - 109.071 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 114ms
PUT /api/employees/1 200 59 - 88.927 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 95ms
PUT /api/employees/1 200 59 - 102.490 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 110ms
PUT /api/employees/1 200 59 - 116.330 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 122ms
PUT /api/employees/1 500 51 - 100.207 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 105ms
PUT /api/employees/1 500 51 - 103.863 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 110ms
PUT /api/employees/1 500 51 - 176.261 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"1234678900"} | Time Taken: 182ms
PUT /api/employees/1 500 51 - 74.472 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 76ms
PUT /api/employees/1 200 59 - 148.742 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 154ms
DELETE /api/employees/4 500 51 - 95.910 ms | User: Unknown User | Body: {} | Time Taken: 102ms
DELETE /api/employees/4 200 66 - 83.196 ms | User: Unknown User | Body: {} | Time Taken: 89ms
DELETE /api/employees/4 404 60 - 3.712 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 200 326 - 137.485 ms | User: Unknown User | Body: {} | Time Taken: 143ms
GET / 404 2250 - 343.401 ms | User: Unknown User | Body: {} | Time Taken: 348ms
GET / 404 2250 - 358.391 ms | User: Unknown User | Body: {} | Time Taken: 365ms
GET / 404 2250 - 377.224 ms | User: Unknown User | Body: {} | Time Taken: 383ms
GET / 404 2250 - 376.388 ms | User: Unknown User | Body: {} | Time Taken: 381ms
GET / 404 2250 - 16.385 ms | User: Unknown User | Body: {} | Time Taken: 18ms
GET / 404 2250 - 369.013 ms | User: Unknown User | Body: {} | Time Taken: 374ms
