POST /api/employees 400 97 - 36.669 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 38ms
GET /api/employees 200 326 - 29.382 ms | User: Unknown User | Body: {} | Time Taken: 32ms
GET /api/employees 200 171 - 3.213 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.618 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.843 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 0.580 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 500 51 - 9.244 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 10ms
GET /api/employees 200 171 - 2.752 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.632 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.631 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 24 - 0.409 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 500 51 - 9.295 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 10ms
GET /api/employees 200 171 - 2.827 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.615 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.650 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 24 - 0.444 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 500 51 - 10.028 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 11ms
GET /api/employees 200 171 - 3.019 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.609 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.742 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 24 - 0.624 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 61.942 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 63ms
POST /api/employees 400 97 - 2.435 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 3ms
PUT /api/employees/1 404 60 - 1.681 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 3ms
GET /api/employees 200 171 - 2.859 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.705 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.719 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 24 - 0.494 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 61.007 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 62ms
POST /api/employees 400 97 - 1.978 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 404 60 - 1.581 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 2ms
GET /api/employees 200 171 - 2.886 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.649 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 2.694 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 0.841 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.796 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 62ms
POST /api/employees 400 97 - 1.995 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 404 60 - 2.650 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 3ms
GET /api/employees 200 171 - 2.929 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.649 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 2.803 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 0.703 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.753 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.948 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 404 60 - 2.574 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 3ms
GET /api/employees 200 171 - 3.022 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.647 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 168 - 0.824 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 24 - 0.542 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.081 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.953 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 3ms
PUT /api/employees/1 404 60 - 1.862 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 3ms
GET /api/employees 200 171 - 3.188 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.670 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.911 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees 200 171 - 2.819 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.638 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 3.118 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees 200 171 - 2.802 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.638 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.793 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 3.925 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/employees 404 23 - 0.622 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 170 - 3.005 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees 200 171 - 2.754 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.683 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 2.991 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 200 22 - 0.836 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/4 200 22 - 29.865 ms | User: Unknown User | Body: {} | Time Taken: 32ms
GET /api/employees/1 200 170 - 2.235 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees 200 171 - 2.756 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.596 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.619 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 200 22 - 0.408 ms | User: Unknown User | Body: {} | Time Taken: 0ms
GET /api/employees 200 171 - 2.869 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.733 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 3.636 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees/999 200 22 - 0.664 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees 200 171 - 2.866 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.698 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 170 - 2.623 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 22 - 0.787 ms | User: Unknown User | Body: {} | Time Taken: 1ms
